Ensembl Gene ID,Alpaca Ensembl Gene ID,Human Ensembl Gene ID
ENSPFOG00000000511,,
ENSPFOG00000000511,,
ENSPFOG00000024132,ENSVPAG00000003442,ENSG00000153339
ENSPFOG00000000529,,ENSG00000179403
ENSPFOG00000000548,,
ENSPFOG00000000548,,
ENSPFOG00000000555,,ENSG00000158747
ENSPFOG00000000555,,ENSG00000270136
ENSPFOG00000022757,,
ENSPFOG00000015741,,ENSG00000168269
ENSPFOG00000000600,ENSVPAG00000007501,ENSG00000077549
ENSPFOG00000022030,ENSVPAG00000001815,ENSG00000043462
ENSPFOG00000022030,ENSVPAG00000001815,ENSG00000043462
ENSPFOG00000024773,,
ENSPFOG00000001807,ENSVPAG00000004643,ENSG00000111266
ENSPFOG00000015750,ENSVPAG00000006320,ENSG00000061492
ENSPFOG00000022444,,
ENSPFOG00000001885,ENSVPAG00000004644,ENSG00000111269
ENSPFOG00000000578,,
ENSPFOG00000013349,,
ENSPFOG00000013349,,
ENSPFOG00000013349,,
ENSPFOG00000024319,,
ENSPFOG00000022671,ENSVPAG00000006320,ENSG00000061492
ENSPFOG00000001112,,ENSG00000143126
ENSPFOG00000023459,,
ENSPFOG00000000586,ENSVPAG00000000759,ENSG00000177570
ENSPFOG00000024143,,ENSG00000243238
ENSPFOG00000024143,,ENSG00000211599
ENSPFOG00000024143,,ENSG00000273962
ENSPFOG00000024143,,ENSG00000242534
ENSPFOG00000024143,,ENSG00000211598
ENSPFOG00000024143,,ENSG00000251039
ENSPFOG00000024143,,ENSG00000244116
ENSPFOG00000024143,,ENSG00000239571
ENSPFOG00000024143,,ENSG00000241566
ENSPFOG00000024143,,ENSG00000211611
ENSPFOG00000024143,,ENSG00000225523
ENSPFOG00000024143,,ENSG00000243264
ENSPFOG00000024143,,ENSG00000211626
ENSPFOG00000024143,,ENSG00000241294
ENSPFOG00000001251,,
ENSPFOG00000001973,ENSVPAG00000004245,ENSG00000183735
ENSPFOG00000000617,ENSVPAG00000000758,ENSG00000182197
ENSPFOG00000000737,ENSVPAG00000000757,ENSG00000164758
ENSPFOG00000006214,ENSVPAG00000010339,ENSG00000109062
ENSPFOG00000006214,ENSVPAG00000010339,ENSG00000109062
